GEO_ID,NAME,Total Population,Chinese,Proportion
0500000US01001,"Autauga County, Alabama",58239,59,0.10%
0500000US01003,"Baldwin County, Alabama",227131,453,0.20%
0500000US01005,"Barbour County, Alabama",25259,2,0.01%
0500000US01007,"Bibb County, Alabama",22412,0,0.00%
0500000US01009,"Blount County, Alabama",58884,66,0.11%
0500000US01011,"Bullock County, Alabama",10386,0,0.00%
0500000US01013,"Butler County, Alabama",19181,0,0.00%
0500000US01015,"Calhoun County, Alabama",116425,43,0.04%
0500000US01017,"Chambers County, Alabama",34834,26,0.07%
0500000US01019,"Cherokee County, Alabama",24975,0,0.00%
0500000US01021,"Chilton County, Alabama",44857,0,0.00%
0500000US01023,"Choctaw County, Alabama",12792,0,0.00%
0500000US01025,"Clarke County, Alabama",23346,14,0.06%
0500000US01027,"Clay County, Alabama",14184,14,0.10%
0500000US01029,"Cleburne County, Alabama",15046,1,0.01%
0500000US01031,"Coffee County, Alabama",53043,355,0.67%
0500000US01033,"Colbert County, Alabama",56789,4,0.01%
0500000US01035,"Conecuh County, Alabama",11778,0,0.00%
0500000US01037,"Coosa County, Alabama",10442,0,0.00%
0500000US01039,"Covington County, Alabama",37490,4,0.01%
0500000US01041,"Crenshaw County, Alabama",13300,0,0.00%
0500000US01043,"Cullman County, Alabama",87129,24,0.03%
0500000US01045,"Dale County, Alabama",49443,32,0.06%
0500000US01047,"Dallas County, Alabama",39162,0,0.00%
0500000US01049,"DeKalb County, Alabama",71554,0,0.00%
0500000US01051,"Elmore County, Alabama",87146,138,0.16%
0500000US01053,"Escambia County, Alabama",36879,70,0.19%
0500000US01055,"Etowah County, Alabama",103468,101,0.10%
0500000US01057,"Fayette County, Alabama",16365,0,0.00%
0500000US01059,"Franklin County, Alabama",32034,15,0.05%
0500000US01061,"Geneva County, Alabama",26604,0,0.00%
0500000US01063,"Greene County, Alabama",7851,0,0.00%
0500000US01065,"Hale County, Alabama",14819,0,0.00%
0500000US01067,"Henry County, Alabama",17165,0,0.00%
0500000US01069,"Houston County, Alabama",106355,143,0.13%
0500000US01071,"Jackson County, Alabama",52548,7,0.01%
0500000US01073,"Jefferson County, Alabama",672550,2844,0.42%
0500000US01075,"Lamar County, Alabama",13929,0,0.00%
0500000US01077,"Lauderdale County, Alabama",93342,228,0.24%
0500000US01079,"Lawrence County, Alabama",33089,0,0.00%
0500000US01081,"Lee County, Alabama",172223,1874,1.09%
0500000US01083,"Limestone County, Alabama",101217,337,0.33%
0500000US01085,"Lowndes County, Alabama",10334,0,0.00%
0500000US01087,"Macon County, Alabama",19490,0,0.00%
0500000US01089,"Madison County, Alabama",382149,2362,0.62%
0500000US01091,"Marengo County, Alabama",19397,0,0.00%
0500000US01093,"Marion County, Alabama",29392,0,0.00%
0500000US01095,"Marshall County, Alabama",97179,180,0.19%
0500000US01097,"Mobile County, Alabama",414620,1035,0.25%
0500000US01099,"Monroe County, Alabama",20115,0,0.00%
0500000US01101,"Montgomery County, Alabama",229072,755,0.33%
0500000US01103,"Morgan County, Alabama",122608,65,0.05%
0500000US01105,"Perry County, Alabama",8702,0,0.00%
0500000US01107,"Pickens County, Alabama",19240,0,0.00%
0500000US01109,"Pike County, Alabama",33176,260,0.78%
0500000US01111,"Randolph County, Alabama",21984,0,0.00%
0500000US01113,"Russell County, Alabama",58695,266,0.45%
0500000US01115,"St. Clair County, Alabama",90412,32,0.04%
0500000US01117,"Shelby County, Alabama",220780,1061,0.48%
0500000US01119,"Sumter County, Alabama",12482,71,0.57%
0500000US01121,"Talladega County, Alabama",81850,4,0.00%
0500000US01123,"Tallapoosa County, Alabama",41284,9,0.02%
0500000US01125,"Tuscaloosa County, Alabama",223945,986,0.44%
0500000US01127,"Walker County, Alabama",65194,92,0.14%
0500000US01129,"Washington County, Alabama",15574,2,0.01%
0500000US01131,"Wilcox County, Alabama",10686,0,0.00%
0500000US01133,"Winston County, Alabama",23650,6,0.03%
0500000US02013,"Aleutians East Borough, Alaska",3409,0,0.00%
0500000US02016,"Aleutians West Census Area, Alaska",5251,5,0.10%
0500000US02020,"Anchorage Municipality, Alaska",292545,1478,0.51%
0500000US02050,"Bethel Census Area, Alaska",18514,0,0.00%
0500000US02060,"Bristol Bay Borough, Alaska",849,0,0.00%
0500000US02063,"Chugach Census Area, Alaska",7015,16,0.23%
0500000US02066,"Copper River Census Area, Alaska",2635,0,0.00%
0500000US02068,"Denali Borough, Alaska",2187,7,0.32%
0500000US02070,"Dillingham Census Area, Alaska",4899,0,0.00%
0500000US02090,"Fairbanks North Star Borough, Alaska",97149,546,0.56%
0500000US02100,"Haines Borough, Alaska",2098,0,0.00%
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2327,20,0.86%
0500000US02110,"Juneau City and Borough, Alaska",32240,151,0.47%
0500000US02122,"Kenai Peninsula Borough, Alaska",58711,113,0.19%
0500000US02130,"Ketchikan Gateway Borough, Alaska",13939,10,0.07%
0500000US02150,"Kodiak Island Borough, Alaska",13218,4,0.03%
0500000US02158,"Kusilvak Census Area, Alaska",8354,0,0.00%
0500000US02164,"Lake and Peninsula Borough, Alaska",986,0,0.00%
0500000US02170,"Matanuska-Susitna Borough, Alaska",106807,196,0.18%
0500000US02180,"Nome Census Area, Alaska",10070,2,0.02%
0500000US02185,"North Slope Borough, Alaska",10865,80,0.74%
0500000US02188,"Northwest Arctic Borough, Alaska",7776,0,0.00%
0500000US02195,"Petersburg Borough, Alaska",3368,37,1.10%
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5886,0,0.00%
0500000US02220,"Sitka City and Borough, Alaska",8518,6,0.07%
0500000US02230,"Skagway Municipality, Alaska",1329,4,0.30%
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6849,130,1.90%
0500000US02275,"Wrangell City and Borough, Alaska",2162,0,0.00%
0500000US02282,"Yakutat City and Borough, Alaska",562,0,0.00%
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5433,0,0.00%
0500000US04001,"Apache County, Arizona",66473,52,0.08%
0500000US04003,"Cochise County, Arizona",125092,258,0.21%
0500000US04005,"Coconino County, Arizona",144942,907,0.63%
0500000US04007,"Gila County, Arizona",53211,148,0.28%
0500000US04009,"Graham County, Arizona",38145,4,0.01%
0500000US04011,"Greenlee County, Arizona",9542,0,0.00%
0500000US04012,"La Paz County, Arizona",16845,79,0.47%
0500000US04013,"Maricopa County, Arizona",4367186,33487,0.77%
0500000US04015,"Mohave County, Arizona",211274,178,0.08%
0500000US04017,"Navajo County, Arizona",106609,135,0.13%
0500000US04019,"Pima County, Arizona",1035063,7844,0.76%
0500000US04021,"Pinal County, Arizona",420625,557,0.13%
0500000US04023,"Santa Cruz County, Arizona",47463,33,0.07%
0500000US04025,"Yavapai County, Arizona",233789,624,0.27%
0500000US04027,"Yuma County, Arizona",202944,79,0.04%
0500000US05001,"Arkansas County, Arkansas",17273,6,0.03%
0500000US05003,"Ashley County, Arkansas",19362,0,0.00%
0500000US05005,"Baxter County, Arkansas",41476,4,0.01%
0500000US05007,"Benton County, Arkansas",278774,835,0.30%
0500000US05009,"Boone County, Arkansas",37445,99,0.26%
0500000US05011,"Bradley County, Arkansas",10597,0,0.00%
0500000US05013,"Calhoun County, Arkansas",4811,0,0.00%
0500000US05015,"Carroll County, Arkansas",28154,10,0.04%
0500000US05017,"Chicot County, Arkansas",10405,10,0.10%
0500000US05019,"Clark County, Arkansas",21569,19,0.09%
0500000US05021,"Clay County, Arkansas",14661,0,0.00%
0500000US05023,"Cleburne County, Arkansas",24848,0,0.00%
0500000US05025,"Cleveland County, Arkansas",7632,0,0.00%
0500000US05027,"Columbia County, Arkansas",22947,20,0.09%
0500000US05029,"Conway County, Arkansas",20687,75,0.36%
0500000US05031,"Craighead County, Arkansas",109875,224,0.20%
0500000US05033,"Crawford County, Arkansas",60483,13,0.02%
0500000US05035,"Crittenden County, Arkansas",48338,39,0.08%
0500000US05037,"Cross County, Arkansas",16935,0,0.00%
0500000US05039,"Dallas County, Arkansas",6645,0,0.00%
0500000US05041,"Desha County, Arkansas",11530,27,0.23%
0500000US05043,"Drew County, Arkansas",17511,0,0.00%
0500000US05045,"Faulkner County, Arkansas",123191,259,0.21%
0500000US05047,"Franklin County, Arkansas",17159,17,0.10%
0500000US05049,"Fulton County, Arkansas",12072,0,0.00%
0500000US05051,"Garland County, Arkansas",99694,52,0.05%
0500000US05053,"Grant County, Arkansas",17912,47,0.26%
0500000US05055,"Greene County, Arkansas",45665,229,0.50%
0500000US05057,"Hempstead County, Arkansas",20352,0,0.00%
0500000US05059,"Hot Spring County, Arkansas",33096,1,0.00%
0500000US05061,"Howard County, Arkansas",12894,85,0.66%
0500000US05063,"Independence County, Arkansas",37796,44,0.12%
0500000US05065,"Izard County, Arkansas",13653,0,0.00%
0500000US05067,"Jackson County, Arkansas",16878,0,0.00%
0500000US05069,"Jefferson County, Arkansas",68199,1,0.00%
0500000US05071,"Johnson County, Arkansas",25853,31,0.12%
0500000US05073,"Lafayette County, Arkansas",6373,0,0.00%
0500000US05075,"Lawrence County, Arkansas",16292,0,0.00%
0500000US05077,"Lee County, Arkansas",8832,0,0.00%
0500000US05079,"Lincoln County, Arkansas",13092,0,0.00%
0500000US05081,"Little River County, Arkansas",12104,0,0.00%
0500000US05083,"Logan County, Arkansas",21299,23,0.11%
0500000US05085,"Lonoke County, Arkansas",73824,50,0.07%
0500000US05087,"Madison County, Arkansas",16496,0,0.00%
0500000US05089,"Marion County, Arkansas",16750,8,0.05%
0500000US05091,"Miller County, Arkansas",42875,0,0.00%
0500000US05093,"Mississippi County, Arkansas",41061,8,0.02%
0500000US05095,"Monroe County, Arkansas",6903,0,0.00%
0500000US05097,"Montgomery County, Arkansas",8525,0,0.00%
0500000US05099,"Nevada County, Arkansas",8340,0,0.00%
0500000US05101,"Newton County, Arkansas",7343,0,0.00%
0500000US05103,"Ouachita County, Arkansas",22858,0,0.00%
0500000US05105,"Perry County, Arkansas",10056,0,0.00%
0500000US05107,"Phillips County, Arkansas",16923,0,0.00%
0500000US05109,"Pike County, Arkansas",10234,0,0.00%
0500000US05111,"Poinsett County, Arkansas",23212,0,0.00%
0500000US05113,"Polk County, Arkansas",19476,0,0.00%
0500000US05115,"Pope County, Arkansas",63234,412,0.65%
0500000US05117,"Prairie County, Arkansas",8306,0,0.00%
0500000US05119,"Pulaski County, Arkansas",397931,1283,0.32%
0500000US05121,"Randolph County, Arkansas",18442,4,0.02%
0500000US05123,"St. Francis County, Arkansas",23623,6,0.03%
0500000US05125,"Saline County, Arkansas",122308,292,0.24%
0500000US05127,"Scott County, Arkansas",9928,0,0.00%
0500000US05129,"Searcy County, Arkansas",7872,8,0.10%
0500000US05131,"Sebastian County, Arkansas",127941,262,0.20%
0500000US05133,"Sevier County, Arkansas",16074,1,0.01%
0500000US05135,"Sharp County, Arkansas",17243,0,0.00%
0500000US05137,"Stone County, Arkansas",12364,2,0.02%
0500000US05139,"Union County, Arkansas",39262,137,0.35%
0500000US05141,"Van Buren County, Arkansas",15851,0,0.00%
0500000US05143,"Washington County, Arkansas",242793,1205,0.50%
0500000US05145,"White County, Arkansas",77075,215,0.28%
0500000US05147,"Woodruff County, Arkansas",6333,0,0.00%
0500000US05149,"Yell County, Arkansas",20489,0,0.00%
0500000US06001,"Alameda County, California",1673133,182674,10.92%
0500000US06003,"Alpine County, California",1344,0,0.00%
0500000US06005,"Amador County, California",40095,88,0.22%
0500000US06007,"Butte County, California",217884,1195,0.55%
0500000US06009,"Calaveras County, California",45349,286,0.63%
0500000US06011,"Colusa County, California",21780,27,0.12%
0500000US06013,"Contra Costa County, California",1161643,53811,4.63%
0500000US06015,"Del Norte County, California",27655,65,0.24%
0500000US06017,"El Dorado County, California",190568,1568,0.82%
0500000US06019,"Fresno County, California",1003150,8395,0.84%
0500000US06021,"Glenn County, California",28675,67,0.23%
0500000US06023,"Humboldt County, California",137014,669,0.49%
0500000US06025,"Imperial County, California",180051,530,0.29%
0500000US06027,"Inyo County, California",18804,45,0.24%
0500000US06029,"Kern County, California",905644,3299,0.36%
0500000US06031,"Kings County, California",151887,632,0.42%
0500000US06033,"Lake County, California",67749,161,0.24%
0500000US06035,"Lassen County, California",32949,139,0.42%
0500000US06037,"Los Angeles County, California",10019635,468915,4.68%
0500000US06039,"Madera County, California",156304,567,0.36%
0500000US06041,"Marin County, California",262387,5161,1.97%
0500000US06043,"Mariposa County, California",17225,31,0.18%
0500000US06045,"Mendocino County, California",91534,847,0.93%
0500000US06047,"Merced County, California",279150,1129,0.40%
0500000US06049,"Modoc County, California",8723,31,0.36%
0500000US06051,"Mono County, California",13291,5,0.04%
0500000US06053,"Monterey County, California",438953,2961,0.67%
0500000US06055,"Napa County, California",138795,813,0.59%
0500000US06057,"Nevada County, California",102090,311,0.30%
0500000US06059,"Orange County, California",3182923,124266,3.90%
0500000US06061,"Placer County, California",400330,5413,1.35%
0500000US06063,"Plumas County, California",19631,70,0.36%
0500000US06065,"Riverside County, California",2409331,26935,1.12%
0500000US06067,"Sacramento County, California",1571767,47034,2.99%
0500000US06069,"San Benito County, California",63329,78,0.12%
0500000US06071,"San Bernardino County, California",2171071,46587,2.15%
0500000US06073,"San Diego County, California",3296317,65078,1.97%
0500000US06075,"San Francisco County, California",865933,184095,21.26%
0500000US06077,"San Joaquin County, California",771406,11169,1.45%
0500000US06079,"San Luis Obispo County, California",282771,2667,0.94%
0500000US06081,"San Mateo County, California",762488,93840,12.31%
0500000US06083,"Santa Barbara County, California",447651,7257,1.62%
0500000US06085,"Santa Clara County, California",1932022,221802,11.48%
