GEO_ID,NAME,Total Population,Chinese,proportion
0500000US01001,"Autauga County, Alabama",58761,129,0.22%
0500000US01003,"Baldwin County, Alabama",233420,379,0.16%
0500000US01005,"Barbour County, Alabama",24877,12,0.05%
0500000US01007,"Bibb County, Alabama",22251,0,0.00%
0500000US01009,"Blount County, Alabama",59077,6,0.01%
0500000US01011,"Bullock County, Alabama",10328,0,0.00%
0500000US01013,"Butler County, Alabama",18981,0,0.00%
0500000US01015,"Calhoun County, Alabama",116162,76,0.07%
0500000US01017,"Chambers County, Alabama",34612,0,0.00%
0500000US01019,"Cherokee County, Alabama",25069,0,0.00%
0500000US01021,"Chilton County, Alabama",45140,20,0.04%
0500000US01023,"Choctaw County, Alabama",12669,0,0.00%
0500000US01025,"Clarke County, Alabama",23058,33,0.14%
0500000US01027,"Clay County, Alabama",14209,11,0.08%
0500000US01029,"Cleburne County, Alabama",15144,1,0.01%
0500000US01031,"Coffee County, Alabama",53559,43,0.08%
0500000US01033,"Colbert County, Alabama",57270,5,0.01%
0500000US01035,"Conecuh County, Alabama",11576,0,0.00%
0500000US01037,"Coosa County, Alabama",10329,0,0.00%
0500000US01039,"Covington County, Alabama",37542,6,0.02%
0500000US01041,"Crenshaw County, Alabama",13205,0,0.00%
0500000US01043,"Cullman County, Alabama",88284,44,0.05%
0500000US01045,"Dale County, Alabama",49455,50,0.10%
0500000US01047,"Dallas County, Alabama",38326,0,0.00%
0500000US01049,"DeKalb County, Alabama",71680,0,0.00%
0500000US01051,"Elmore County, Alabama",87694,21,0.02%
0500000US01053,"Escambia County, Alabama",36755,50,0.14%
0500000US01055,"Etowah County, Alabama",103348,45,0.04%
0500000US01057,"Fayette County, Alabama",16297,0,0.00%
0500000US01059,"Franklin County, Alabama",32011,18,0.06%
0500000US01061,"Geneva County, Alabama",26647,0,0.00%
0500000US01063,"Greene County, Alabama",7706,0,0.00%
0500000US01065,"Hale County, Alabama",14742,0,0.00%
0500000US01067,"Henry County, Alabama",17282,0,0.00%
0500000US01069,"Houston County, Alabama",107040,157,0.15%
0500000US01071,"Jackson County, Alabama",52618,7,0.01%
0500000US01073,"Jefferson County, Alabama",672265,3260,0.48%
0500000US01075,"Lamar County, Alabama",13885,0,0.00%
0500000US01077,"Lauderdale County, Alabama",94329,224,0.24%
0500000US01079,"Lawrence County, Alabama",33116,0,0.00%
0500000US01081,"Lee County, Alabama",175126,1784,1.02%
0500000US01083,"Limestone County, Alabama",104199,299,0.29%
0500000US01085,"Lowndes County, Alabama",10153,0,0.00%
0500000US01087,"Macon County, Alabama",19198,0,0.00%
0500000US01089,"Madison County, Alabama",389781,2227,0.57%
0500000US01091,"Marengo County, Alabama",19180,0,0.00%
0500000US01093,"Marion County, Alabama",29203,0,0.00%
0500000US01095,"Marshall County, Alabama",97923,180,0.18%
