GEO_ID,NAME,Total Population,Asian-Indian,Asian-Indian-Proportion,Chinese,Chinese-Proportion,Filipino,Filipino Proportion,Japanese,Japanese-Proportion,Korean,Korean-Proportion,Vietnamese,Vietnamese-Proportion
0500000US01001,"Autauga County, Alabama",58761,73,0.124%,129,0.220%,177,0.301%,46,0.078%,233,0.397%,0,0.000%
0500000US01003,"Baldwin County, Alabama",233420,436,0.187%,379,0.162%,206,0.088%,283,0.121%,226,0.097%,163,0.070%
0500000US01005,"Barbour County, Alabama",24877,34,0.137%,12,0.048%,11,0.044%,21,0.084%,14,0.056%,20,0.080%
0500000US01007,"Bibb County, Alabama",22251,45,0.202%,0,0.000%,0,0.000%,0,0.000%,24,0.108%,0,0.000%
0500000US01009,"Blount County, Alabama",59077,63,0.107%,6,0.010%,13,0.022%,0,0.000%,18,0.030%,0,0.000%
0500000US01011,"Bullock County, Alabama",10328,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01013,"Butler County, Alabama",18981,177,0.933%,0,0.000%,14,0.074%,0,0.000%,52,0.274%,0,0.000%
0500000US01015,"Calhoun County, Alabama",116162,65,0.056%,76,0.065%,98,0.084%,50,0.043%,254,0.219%,66,0.057%
0500000US01017,"Chambers County, Alabama",34612,0,0.000%,0,0.000%,0,0.000%,2,0.006%,40,0.116%,0,0.000%
0500000US01019,"Cherokee County, Alabama",25069,0,0.000%,0,0.000%,6,0.024%,0,0.000%,0,0.000%,21,0.084%
0500000US01021,"Chilton County, Alabama",45140,59,0.131%,20,0.044%,0,0.000%,19,0.042%,19,0.042%,112,0.248%
0500000US01023,"Choctaw County, Alabama",12669,15,0.118%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01025,"Clarke County, Alabama",23058,1,0.004%,33,0.143%,15,0.065%,0,0.000%,0,0.000%,37,0.160%
0500000US01027,"Clay County, Alabama",14209,0,0.000%,11,0.077%,25,0.176%,0,0.000%,0,0.000%,0,0.000%
0500000US01029,"Cleburne County, Alabama",15144,0,0.000%,1,0.007%,0,0.000%,14,0.092%,0,0.000%,0,0.000%
0500000US01031,"Coffee County, Alabama",53559,9,0.017%,43,0.080%,71,0.133%,44,0.082%,232,0.433%,119,0.222%
0500000US01033,"Colbert County, Alabama",57270,94,0.164%,5,0.009%,74,0.129%,33,0.058%,8,0.014%,0,0.000%
0500000US01035,"Conecuh County, Alabama",11576,0,0.000%,0,0.000%,36,0.311%,0,0.000%,0,0.000%,0,0.000%
0500000US01037,"Coosa County, Alabama",10329,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01039,"Covington County, Alabama",37542,53,0.141%,6,0.016%,18,0.048%,119,0.317%,0,0.000%,1,0.003%
0500000US01041,"Crenshaw County, Alabama",13205,62,0.470%,0,0.000%,43,0.326%,0,0.000%,49,0.371%,0,0.000%
0500000US01043,"Cullman County, Alabama",88284,0,0.000%,44,0.050%,121,0.137%,65,0.074%,12,0.014%,29,0.033%
0500000US01045,"Dale County, Alabama",49455,27,0.055%,50,0.101%,121,0.245%,46,0.093%,144,0.291%,20,0.040%
0500000US01047,"Dallas County, Alabama",38326,102,0.266%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,122,0.318%
0500000US01049,"DeKalb County, Alabama",71680,3,0.004%,0,0.000%,54,0.075%,6,0.008%,0,0.000%,0,0.000%
0500000US01051,"Elmore County, Alabama",87694,65,0.074%,21,0.024%,217,0.247%,27,0.031%,63,0.072%,0,0.000%
0500000US01053,"Escambia County, Alabama",36755,0,0.000%,50,0.136%,25,0.068%,0,0.000%,0,0.000%,7,0.019%
0500000US01055,"Etowah County, Alabama",103348,140,0.135%,45,0.044%,253,0.245%,32,0.031%,1,0.001%,98,0.095%
0500000US01057,"Fayette County, Alabama",16297,0,0.000%,0,0.000%,11,0.067%,0,0.000%,0,0.000%,12,0.074%
0500000US01059,"Franklin County, Alabama",32011,17,0.053%,18,0.056%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01061,"Geneva County, Alabama",26647,0,0.000%,0,0.000%,5,0.019%,0,0.000%,138,0.518%,0,0.000%
0500000US01063,"Greene County, Alabama",7706,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01065,"Hale County, Alabama",14742,0,0.000%,0,0.000%,0,0.000%,0,0.000%,9,0.061%,0,0.000%
0500000US01067,"Henry County, Alabama",17282,32,0.185%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,64,0.370%
0500000US01069,"Houston County, Alabama",107040,214,0.200%,157,0.147%,133,0.124%,31,0.029%,97,0.091%,173,0.162%
0500000US01071,"Jackson County, Alabama",52618,0,0.000%,7,0.013%,33,0.063%,32,0.061%,52,0.099%,85,0.162%
0500000US01073,"Jefferson County, Alabama",672265,4011,0.597%,3260,0.485%,817,0.122%,303,0.045%,992,0.148%,793,0.118%
0500000US01075,"Lamar County, Alabama",13885,7,0.050%,0,0.000%,14,0.101%,0,0.000%,0,0.000%,0,0.000%
0500000US01077,"Lauderdale County, Alabama",94329,66,0.070%,224,0.237%,67,0.071%,51,0.054%,51,0.054%,61,0.065%
0500000US01079,"Lawrence County, Alabama",33116,2,0.006%,0,0.000%,17,0.051%,9,0.027%,0,0.000%,50,0.151%
0500000US01081,"Lee County, Alabama",175126,1187,0.678%,1784,1.019%,241,0.138%,93,0.053%,3382,1.931%,340,0.194%
0500000US01083,"Limestone County, Alabama",104199,1006,0.965%,299,0.287%,121,0.116%,77,0.074%,149,0.143%,237,0.227%
0500000US01085,"Lowndes County, Alabama",10153,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01087,"Macon County, Alabama",19198,0,0.000%,0,0.000%,14,0.073%,5,0.026%,12,0.063%,25,0.130%
0500000US01089,"Madison County, Alabama",389781,2026,0.520%,2227,0.571%,951,0.244%,729,0.187%,1248,0.320%,720,0.185%
0500000US01091,"Marengo County, Alabama",19180,142,0.740%,0,0.000%,9,0.047%,0,0.000%,0,0.000%,0,0.000%
0500000US01093,"Marion County, Alabama",29203,0,0.000%,0,0.000%,28,0.096%,0,0.000%,57,0.195%,0,0.000%
0500000US01095,"Marshall County, Alabama",97923,147,0.150%,180,0.184%,56,0.057%,0,0.000%,2,0.002%,166,0.170%
0500000US01097,"Mobile County, Alabama",413878,583,0.141%,1167,0.282%,700,0.169%,178,0.043%,215,0.052%,3740,0.904%
0500000US01099,"Monroe County, Alabama",19816,0,0.000%,12,0.061%,18,0.091%,0,0.000%,12,0.061%,0,0.000%
0500000US01101,"Montgomery County, Alabama",228132,1251,0.548%,965,0.423%,385,0.169%,158,0.069%,3143,1.378%,603,0.264%
0500000US01103,"Morgan County, Alabama",123102,64,0.052%,53,0.043%,55,0.045%,13,0.011%,77,0.063%,130,0.106%
0500000US01105,"Perry County, Alabama",8479,0,0.000%,0,0.000%,0,0.000%,7,0.083%,0,0.000%,0,0.000%
0500000US01107,"Pickens County, Alabama",18925,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01109,"Pike County, Alabama",32997,320,0.970%,164,0.497%,38,0.115%,2,0.006%,93,0.282%,26,0.079%
0500000US01111,"Randolph County, Alabama",22179,9,0.041%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US01113,"Russell County, Alabama",58849,35,0.059%,163,0.277%,174,0.296%,24,0.041%,50,0.085%,0,0.000%
